5
1000 5 200 300
A D 275 NO
T A 88 NO
T E 57 ERR
A E 218 NO
n C 145 NO
C D 211 NO
m D 256 ERR
N C 40 NO
Q C 227 NO
c B 260 ERR
Y A 139 NO
S B 133 NO
J E 87 ERR
W C 245 ERR
K D 24 NO
T B 154 ERR
R C 138 NO
Z E 34 ERR
K A 7 NO
B A 148 ERR
J E 75 NO
Z E 249 NO
\ A 163 NO
A B 212 NO
I E 101 ERR
X A 195 NO
^ B 203 ERR
k E 24 NO
X A 120 ERR
g D 184 NO
f A 141 ERR
O A 99 NO
j E 6 NO
E A 137 NO
R B 158 NO
a E 95 NO
n E 190 ERR
m A 149 ERR
X C 91 NO
f E 70 NO
g D 35 ERR
g E 39 NO
P E 201 NO
U B 143 NO
l E 86 NO
M B 124 NO
b E 237 ERR
d E 29 NO
[ A 3 ERR
i E 214 NO
a D 123 ERR
C D 128 NO
S A 163 NO
I A 202 NO
G E 33 ERR
j E 224 NO
B E 15 NO
e C 96 NO
S C 176 ERR
_ A 52 ERR
L B 213 NO
[ D 150 NO
O B 229 NO
[ A 184 NO
^ C 41 NO
Q D 292 NO
d D 104 NO
M D 265 NO
o D 149 NO
m B 284 NO
r E 136 ERR
O A 244 NO
\ E 276 NO
J C 255 NO
i A 16 NO
H A 95 NO
D D 150 ERR
i C 161 NO
m D 290 NO
P E 21 NO
C B 13 ERR
p A 283 NO
F B 15 NO
Y E 112 NO
O A 188 ERR
` C 20 NO
L D 160 ERR
Z E 142 NO
_ C 203 ERR
P A 286 NO
E C 298 NO
o A 266 NO
M C 27 ERR
f C 9 NO
i E 273 NO
L A 147 NO
D A 294 NO
B D 52 NO
d A 224 ERR
j B 84 ERR
g D 0 NO
a B 252 NO
a B 186 NO
l E 84 NO
W A 30 NO
p E 11 ERR
L C 213 NO
M A 175 NO
r A 26 NO
I B 58 NO
a E 281 ERR
J B 250 ERR
D A 12 NO
M B 177 NO
d C 245 NO
T B 154 NO
E D 226 ERR
K D 74 NO
S A 272 NO
e C 152 ERR
S B 275 NO
m D 170 NO
p B 133 NO
E B 185 NO
C D 210 ERR
W D 229 ERR
g B 235 ERR
R D 106 NO
j E 144 ERR
n D 156 NO
V C 80 ERR
q C 272 NO
M E 120 NO
K D 194 NO
] E 200 NO
G D 9 ERR
P E 273 NO
c E 213 NO
b C 218 NO
d E 204 NO
T D 160 NO
b E 53 ERR
I C 169 NO
r B 3 NO
g D 48 NO
A B 201 ERR
A A 75 ERR
d D 208 NO
_ B 256 NO
M A 2 NO
R D 166 NO
V B 239 NO
K B 77 NO
h B 50 NO
V A 8 NO
W D 228 NO
h B 238 NO
L E 214 ERR
U E 141 NO
o D 182 NO
A C 34 NO
^ E 174 NO
S A 1 NO
T C 281 NO
K A 190 ERR
[ A 276 NO
L A 112 NO
C D 274 ERR
` C 153 NO
U E 264 ERR
P E 128 NO
J C 234 NO
j E 94 NO
] E 148 NO
[ D 186 ERR
D C 166 NO
N E 198 NO
q A 289 NO
g B 135 NO
G E 28 NO
R C 260 NO
B B 39 NO
R C 236 NO
Q E 127 ERR
[ A 255 ERR
c E 96 NO
B B 253 NO
O C 217 NO
` A 92 ERR
F E 36 NO
j D 225 NO
o C 264 NO
T D 178 NO
f C 177 ERR
f C 247 NO
e B 67 ERR
F B 188 ERR
a D 203 ERR
j A 181 ERR
P D 265 NO
K D 182 NO
F B 100 ERR
P B 39 NO
A D 221 NO
D C 110 NO
n C 281 ERR
p D 292 NO
d D 162 NO
f B 72 ERR
A E 214 ERR
j C 152 NO
q D 100 ERR
X D 13 NO
n B 257 NO
j A 143 ERR
e A 168 NO
l D 287 ERR
J A 146 NO
\ B 63 NO
p C 39 NO
A C 282 ERR
e E 231 ERR
l A 77 NO
P D 102 ERR
I B 255 ERR
e D 100 NO
O E 82 ERR
r E 282 NO
X A 259 NO
i E 211 ERR
Y C 134 ERR
M C 168 ERR
K E 136 ERR
V E 257 ERR
G C 280 ERR
G E 150 ERR
P E 119 NO
b A 154 NO
] B 283 NO
N C 275 NO
S E 19 NO
l E 212 NO
B A 221 NO
\ D 245 NO
F C 163 ERR
m C 59 NO
P C 51 ERR
p A 114 ERR
U D 151 ERR
q E 137 ERR
G B 66 NO
G C 114 NO
i C 121 NO
E C 203 ERR
A A 162 NO
F C 253 NO
X C 109 ERR
W A 249 NO
^ C 202 NO
X D 146 ERR
f B 248 NO
T E 141 NO
C A 137 ERR
H D 105 ERR
h A 63 ERR
A C 207 NO
p D 277 ERR
L C 43 NO
B B 32 NO
X D 141 ERR
J A 187 NO
T D 161 ERR
o D 115 NO
X D 287 NO
k C 72 ERR
j E 284 NO
f E 254 NO
M A 215 NO
L B 220 NO
o C 221 NO
n B 293 NO
e A 6 NO
q E 58 NO
f B 29 NO
j B 53 NO
\ E 120 ERR
D E 209 NO
O A 170 NO
Y B 251 NO
_ D 259 NO
e E 199 NO
j B 147 ERR
H E 201 NO
c A 159 NO
r D 149 ERR
R C 262 NO
F C 107 NO
K B 254 NO
o A 195 ERR
q C 185 NO
d B 63 NO
d C 108 NO
P D 32 ERR
D B 172 ERR
^ D 41 ERR
