100000 -1486618624
-485888 -483138 U
-486918 -497597 R
-489122 -499632 U
-491013 -475625 D
-481125 -470569 R
-474678 -472765 D
-495370 -473719 D
-481077 -494974 D
-480652 -494988 D
-498985 -493758 L
-486116 -485912 U
-489552 -471126 R
-479652 -495225 D
-478686 -485873 R
-476373 -487843 D
-490811 -474834 R
-470079 -470830 R
-474208 -486189 U
-494579 -492459 D
-493279 -482133 D
-483294 -485616 U
-499168 -478352 R
-487849 -492283 L
-488472 -480070 U
-487216 -479391 L
-491396 -490987 R
-477532 -469006 U
-490348 -498644 U
-499482 -499210 D
-481277 -477403 R
-499151 -474940 L
-498044 -471671 D
-475254 -470530 D
-487387 -493750 R
-499783 -488373 U
-493627 -468283 D
-495003 -480049 L
-472225 -496684 L
-480621 -482094 R
-471777 -476860 L
-483233 -493992 D
-477847 -474282 D
-467959 -472669 D
-481950 -479728 R
-474977 -483642 U
-487778 -493437 R
-469254 -498214 U
-483342 -491943 D
-497214 -471691 U
-495445 -492731 D
-489038 -488851 D
-484720 -483283 D
-492198 -488167 D
-489349 -485345 D
-499192 -469125 L
-474517 -479369 U
-496727 -473812 D
-474783 -476732 L
-471111 -499499 U
-482202 -498883 L
-488546 -480103 D
-471674 -499465 L
-495356 -468534 D
-472917 -491755 L
-474352 -482902 D
-477291 -495964 R
-473722 -486346 L
-481937 -492312 L
-492743 -486609 R
-497243 -484289 L
-490665 -483635 R
-494329 -496917 R
-483980 -497937 L
-469658 -475556 L
-497052 -487772 R
-476373 -476711 R
-486342 -489133 R
-480881 -479857 U
-478706 -475137 D
-490103 -493707 R
-488358 -486832 U
-475001 -495226 R
-496380 -484767 U
-478324 -478913 L
-494984 -480363 U
-478126 -488860 D
-491683 -482351 U
-470674 -492683 D
-497464 -482315 L
-474179 -494497 R
-490759 -495766 D
-470405 -468916 D
-478966 -467946 D
-494388 -474723 L
-477672 -478427 U
-477529 -492689 L
-473400 -493478 U
-483229 -498102 R
-470981 -487191 L
-497837 -481864 D
-481842 -490483 L
-470221 -486659 D
-468678 -467245 U
-469157 -486099 D
-493334 -495152 U
-479257 -476852 D
-467290 -492862 D
-478622 -473795 L
-480027 -481979 L
-475505 -485715 D
-482463 -494298 R
-481439 -492741 R
-482367 -495108 R
-469684 -499313 U
-481926 -483575 U
-484755 -468197 D
-490445 -476260 U
-489923 -494408 D
-485811 -473251 L
-472632 -491414 R
-499357 -482476 R
-475480 -486175 L
-483109 -478328 L
-478677 -469101 L
-477470 -495996 D
-490644 -480113 R
-484762 -483539 D
-475566 -478384 U
-494357 -486745 D
-493914 -484813 R
-493232 -471236 D
-487993 -468371 L
-485154 -486781 L
-486750 -496507 U
-479691 -490436 L
-499982 -489020 U
-487943 -485228 R
-473597 -480995 L
-476346 -469034 R
-497567 -481676 D
-470440 -492875 D
-467658 -493230 U
-481816 -470619 R
-479916 -484252 D
-484305 -486641 D
-498413 -468649 D
-483699 -475331 R
-484981 -482057 D
-492731 -484794 L
-494892 -481901 U
-492847 -484487 L
-495533 -495088 U
-478541 -495902 L
-492229 -482752 R
-467496 -487160 R
-468274 -493240 U
-473378 -494085 D
-478465 -468666 L
-480538 -498630 L
-482942 -468114 D
-492622 -491224 D
-492938 -497063 U
-483777 -471034 L
-467676 -482241 U
-475360 -498263 U
-489848 -480944 D
-481216 -482721 L
-480602 -467354 R
-476199 -479022 L
-480045 -481592 D
-497986 -482375 D
-479618 -477258 R
-487349 -481862 R
-497382 -491783 U
-468834 -485931 R
-494792 -478810 L
-498212 -495580 D
-476685 -488745 R
-481356 -469548 D
-495810 -484851 R
-498587 -477012 R
-474448 -471188 L
-482079 -496261 R
-475675 -473058 R
-475663 -489930 D
-467315 -473228 L
-470425 -483390 D
-469061 -468571 D
-471370 -485229 U
-487141 -498886 D
-485233 -475997 R
-469488 -496509 U
-488109 -481163 U
-491540 -468303 U
-491395 -473055 L
-487998 -487322 U
-473268 -477035 U
-499329 -479786 D
-487086 -474986 R
-488115 -496435 R
-498238 -498654 R
-488082 -495804 L
-480381 -487359 U
-472558 -469188 D
-477578 -469396 D
-484907 -477928 D
-491912 -494066 L
-489242 -469573 L
-494336 -469040 D
-478716 -472058 U
-494488 -495193 U
-471587 -472685 L
-487349 -484378 U
-486807 -489284 L
-479116 -491844 L
-499881 -475572 L
-497581 -475928 U
-469577 -470154 R
-492799 -480370 L
-481204 -485151 L
